largest,size_to_switch,keycomparisons,timetaken,numitems
10000000,7,116205,0:00:00.028008,10000
10000000,7,1498007,0:00:00.385018,100000
10000000,7,1499042,0:00:00.379975,100000
10000000,7,18290431,0:00:04.924315,1000000
10000000,7,18290712,0:00:04.929088,1000000
10000000,7,215801481,0:01:04.022745,10000000
10000000,7,215800194,0:01:04.272795,10000000
1000,8,8431,0:00:00.001996,1000
1000,8,8481,0:00:00.002000,1000
1000,8,116217,0:00:00.028000,10000
1000,8,116104,0:00:00.029998,10000
1000,8,1498105,0:00:00.402581,100000
1000,8,1497191,0:00:00.361006,100000
1000,8,18417555,0:00:04.545660,1000000
1000,8,18416927,0:00:04.553174,1000000
1000,8,215737280,0:00:57.774026,10000000
1000,8,215734262,0:00:58.188813,10000000
10000,8,8426,0:00:00.002000,1000
10000,8,8441,0:00:00.002002,1000
10000,8,116257,0:00:00.034998,10000
10000,8,116194,0:00:00.037001,10000
10000,8,1497759,0:00:00.452597,100000
10000,8,1497907,0:00:00.419825,100000
10000,8,18422051,0:00:05.186067,1000000
10000,8,18421943,0:00:04.834028,1000000
10000,8,215798299,0:01:02.227684,10000000
10000,8,215794999,0:01:01.806369,10000000
100000,8,8418,0:00:00.002002,1000
100000,8,8526,0:00:00.002999,1000
100000,8,116252,0:00:00.029001,10000
100000,8,116113,0:00:00.028996,10000
100000,8,1498759,0:00:00.404010,100000
100000,8,1498221,0:00:00.412996,100000
100000,8,18422139,0:00:04.810880,1000000
100000,8,18422413,0:00:04.961849,1000000
100000,8,215797004,0:01:16.248449,10000000
100000,8,215799119,0:01:16.402162,10000000
1000000,8,8532,0:00:00.002002,1000
1000000,8,8448,0:00:00.001998,1000
1000000,8,116258,0:00:00.030999,10000
1000000,8,116157,0:00:00.029001,10000
1000000,8,1498375,0:00:00.383007,100000
1000000,8,1498309,0:00:00.425997,100000
1000000,8,18420875,0:00:04.907782,1000000
1000000,8,18420932,0:00:04.938100,1000000
1000000,8,215798355,0:01:06.635085,10000000
1000000,8,215802712,0:01:02.600603,10000000
10000000,8,8565,0:00:00.001995,1000
10000000,8,8378,0:00:00.003001,1000
10000000,8,116114,0:00:00.028998,10000
10000000,8,116050,0:00:00.029000,10000
10000000,8,1498611,0:00:00.442001,100000
