largest,size_to_switch,keycomparisons,timetaken
1000000,20,143512,0:00:00.033997
1000000,20,1639102,0:00:00.395991
1000000,20,1639830,0:00:00.393016
1000000,20,20224552,0:00:05.341012
1000000,20,20223941,0:00:05.441408
1000000,20,242325478,0:01:08.612898
1000000,20,242308972,0:01:06.243784
10000000,20,10361,0:00:00.002994
10000000,20,10296,0:00:00.003007
10000000,20,143629,0:00:00.034025
10000000,20,143523,0:00:00.034983
10000000,20,1638798,0:00:00.409997
10000000,20,1639664,0:00:00.397009
10000000,20,20223605,0:00:05.150053
10000000,20,20218332,0:00:05.102620
10000000,20,242303398,0:01:07.491331
10000000,20,242310246,0:01:07.658476
